"Estado","tipo delito","suma delitos","pob por cada 1000"
"Guerrero","Otros delitos que atentan contra la libertad y la seguridad sexual",1,0.00028
"Guerrero","Otros delitos que atentan contra la vida y la integridad corporal",24,0.00678
"Guerrero","Rapto",0,0
"Guerrero","Robo",5871,1.65815
"Guerrero","Secuestro",10,0.00282
"Guerrero","Tráfico de menores",1,0.00028
"Guerrero","Trata de personas",7,0.00198
"Guerrero","Violación equiparada",173,0.04886
"Guerrero","Violación simple",179,0.05056
"Guerrero","Violencia de género en todas sus modalidades distinta a la violencia familiar",361,0.10196
"Guerrero","Violencia familiar",2785,0.78657
"Hidalgo","Aborto",9,0.00292
"Hidalgo","Abuso de confianza",298,0.09666
"Hidalgo","Abuso sexual",672,0.21798
"Hidalgo","Acoso sexual",2,0.00065
"Hidalgo","Allanamiento de morada",240,0.07785
"Hidalgo","Amenazas",3218,1.04384
"Hidalgo","Contra el medio ambiente",12,0.00389
"Hidalgo","Corrupción de menores",70,0.02271
"Hidalgo","Daño a la propiedad",2660,0.86284
"Hidalgo","Delitos cometidos por servidores públicos",527,0.17095
"Hidalgo","Despojo",696,0.22577
"Hidalgo","Electorales",198,0.06423
"Hidalgo","Evasión de presos",1,0.00032
"Hidalgo","Extorsión",311,0.10088
"Hidalgo","Falsedad",146,0.04736
"Hidalgo","Falsificación",178,0.05774
"Hidalgo","Feminicidio",17,0.00551
"Hidalgo","Fraude",1416,0.45932
"Hidalgo","Homicidio",428,0.13883
"Hidalgo","Hostigamiento sexual",175,0.05677
"Hidalgo","Incesto",0,0
"Hidalgo","Incumplimiento de obligaciones de asistencia familiar",762,0.24717
"Hidalgo","Lesiones",5346,1.73411
"Hidalgo","Narcomenudeo",635,0.20598
"Hidalgo","Otros delitos contra el patrimonio",417,0.13526
"Hidalgo","Otros delitos contra la familia",3,0.00097
"Hidalgo","Otros delitos contra la sociedad",14,0.00454
"Hidalgo","Otros delitos del Fuero Común",14774,4.79233
"Hidalgo","Otros delitos que atentan contra la libertad personal",1724,0.55922
"Hidalgo","Otros delitos que atentan contra la libertad y la seguridad sexual",330,0.10704
"Hidalgo","Otros delitos que atentan contra la vida y la integridad corporal",155,0.05028
"Hidalgo","Rapto",1,0.00032
"Hidalgo","Robo",11349,3.68134
"Hidalgo","Secuestro",14,0.00454
"Hidalgo","Tráfico de menores",0,0
"Hidalgo","Trata de personas",9,0.00292
"Hidalgo","Violación equiparada",417,0.13526
"Hidalgo","Violación simple",497,0.16121
"Hidalgo","Violencia de género en todas sus modalidades distinta a la violencia familiar",6,0.00195
"Hidalgo","Violencia familiar",6802,2.20641
"Jalisco","Aborto",21,0.00252
"Jalisco","Abuso de confianza",1556,0.18639
"Jalisco","Abuso sexual",5322,0.63751
"Jalisco","Acoso sexual",299,0.03582
"Jalisco","Allanamiento de morada",198,0.02372
"Jalisco","Amenazas",9785,1.17212
"Jalisco","Contra el medio ambiente",48,0.00575
"Jalisco","Corrupción de menores",125,0.01497
"Jalisco","Daño a la propiedad",2251,0.26964
"Jalisco","Delitos cometidos por servidores públicos",443,0.05307
"Jalisco","Despojo",1282,0.15357
"Jalisco","Electorales",8,0.00096
"Jalisco","Evasión de presos",5,6e-04
"Jalisco","Extorsión",543,0.06504
"Jalisco","Falsedad",233,0.02791
"Jalisco","Falsificación",1231,0.14746
"Jalisco","Feminicidio",28,0.00335
"Jalisco","Fraude",11884,1.42355
"Jalisco","Homicidio",2413,0.28905
"Jalisco","Hostigamiento sexual",112,0.01342
"Jalisco","Incesto",0,0
"Jalisco","Incumplimiento de obligaciones de asistencia familiar",900,0.10781
"Jalisco","Lesiones",12984,1.55531
"Jalisco","Narcomenudeo",1984,0.23766
"Jalisco","Otros delitos contra el patrimonio",0,0
"Jalisco","Otros delitos contra la familia",346,0.04145
"Jalisco","Otros delitos contra la sociedad",8,0.00096
"Jalisco","Otros delitos del Fuero Común",14162,1.69642
"Jalisco","Otros delitos que atentan contra la libertad personal",914,0.10949
"Jalisco","Otros delitos que atentan contra la libertad y la seguridad sexual",1238,0.1483
"Jalisco","Otros delitos que atentan contra la vida y la integridad corporal",175,0.02096
"Jalisco","Rapto",0,0
"Jalisco","Robo",38461,4.60713
"Jalisco","Secuestro",16,0.00192
"Jalisco","Tráfico de menores",3,0.00036
"Jalisco","Trata de personas",6,0.00072
"Jalisco","Violación equiparada",44,0.00527
"Jalisco","Violación simple",511,0.06121
"Jalisco","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Jalisco","Violencia familiar",14553,1.74326
"México","Aborto",108,0.00636
"México","Abuso de confianza",4712,0.2773
"México","Abuso sexual",4974,0.29272
