"año","Tipo de delito","Mes","Conteo"
2016,"Electorales","Mayo",0
2016,"Electorales","Junio",0
2016,"Electorales","Julio",0
2016,"Electorales","Agosto",0
2016,"Electorales","Septiembre",0
2016,"Electorales","Octubre",0
2016,"Electorales","Noviembre",0
2016,"Electorales","Diciembre",0
2016,"Evasión de presos","Enero",0
2016,"Evasión de presos","Febrero",1
2016,"Evasión de presos","Marzo",0
2016,"Evasión de presos","Abril",0
2016,"Evasión de presos","Mayo",0
2016,"Evasión de presos","Junio",0
2016,"Evasión de presos","Julio",0
2016,"Evasión de presos","Agosto",0
2016,"Evasión de presos","Septiembre",0
2016,"Evasión de presos","Octubre",0
2016,"Evasión de presos","Noviembre",0
2016,"Evasión de presos","Diciembre",0
2016,"Extorsión","Enero",7
2016,"Extorsión","Febrero",8
2016,"Extorsión","Marzo",8
2016,"Extorsión","Abril",12
2016,"Extorsión","Mayo",6
2016,"Extorsión","Junio",5
2016,"Extorsión","Julio",1
2016,"Extorsión","Agosto",5
2016,"Extorsión","Septiembre",5
2016,"Extorsión","Octubre",11
2016,"Extorsión","Noviembre",4
2016,"Extorsión","Diciembre",8
2016,"Falsedad","Enero",13
2016,"Falsedad","Febrero",17
2016,"Falsedad","Marzo",6
2016,"Falsedad","Abril",1
2016,"Falsedad","Mayo",8
2016,"Falsedad","Junio",8
2016,"Falsedad","Julio",5
2016,"Falsedad","Agosto",4
2016,"Falsedad","Septiembre",7
2016,"Falsedad","Octubre",11
2016,"Falsedad","Noviembre",17
2016,"Falsedad","Diciembre",20
2016,"Falsificación","Enero",7
2016,"Falsificación","Febrero",9
2016,"Falsificación","Marzo",8
2016,"Falsificación","Abril",10
2016,"Falsificación","Mayo",11
2016,"Falsificación","Junio",10
2016,"Falsificación","Julio",7
2016,"Falsificación","Agosto",10
2016,"Falsificación","Septiembre",20
2016,"Falsificación","Octubre",14
2016,"Falsificación","Noviembre",11
2016,"Falsificación","Diciembre",15
2016,"Feminicidio","Enero",0
2016,"Feminicidio","Febrero",2
2016,"Feminicidio","Marzo",2
2016,"Feminicidio","Abril",2
2016,"Feminicidio","Mayo",3
2016,"Feminicidio","Junio",4
2016,"Feminicidio","Julio",2
2016,"Feminicidio","Agosto",2
2016,"Feminicidio","Septiembre",1
2016,"Feminicidio","Octubre",0
2016,"Feminicidio","Noviembre",3
